130;The Doobie Brothers;DOOBIEBROTHERS;It Keeps You Runnin';13/11/1976
131;Tom Petty And The Heartbreakers;TOMPETTYANDHEARTBREAKERS;Mary Jane's Last Dance;25/12/1993
132;Faith No More;FAITHNOMORE;Epic;23/06/1990
133;Dire Straits;DIRESTRAITS;Sultans Of Swing;10/02/1979
134;Chevelle;CHEVELLE;The Red;30/11/2002
135;Alicia Keys;ALICIAKEYS;How Come You Don't Call Me;06/04/2002
136;Cher;CHER;If I Could Turn Back Time;08/07/1989
137;Audioslave;AUDIOSLAVE;Like A Stone;01/03/2003
138;Filter;FILTER;Take A Picture;27/11/1999
139;The Cure;CURE;Friday I m In Love;13/06/1992
140;Genesis;GENESIS;Follow You Follow Me;22/04/1978
141;Hootie & The Blowfish;HOOTIEBLOWFISH;Let Her Cry;11/03/1995
142;Hoobastank;HOOBASTANK;Running Away;06/07/2002
143;Aerosmith;AEROSMITH;Falling In Love (Is Hard On The Knees);01/03/1997
144;Aerosmith;AEROSMITH;I Don't Want To Miss A Thing;05/09/1998
145;Aerosmith;AEROSMITH;Pink;28/02/1998
146;Hoobastank;HOOBASTANK;Crawling In The Dark;02/03/2002
147;Britney Spears;BRITNEYSPEARS;I'm A Slave 4 U;20/10/2001
148;Lenny Kravitz;LENNYKRAVITZ;Heaven Help/Spinning Around Over You;05/03/1994
149;Lenny Kravitz;LENNYKRAVITZ;Stand By My Woman;19/10/1991
150;Jimmy Eat World;JIMMYEATWORLD;The Middle;16/03/2002
151;Limp Bizkit;LIMPBIZKIT;Rollin';11/11/2000
152;Cake;CAKE;Never There;05/12/1998
153;Dire Straits;DIRESTRAITS;Walk Of Life;02/11/1985
154;Seal;SEAL;Kiss From A Rose;24/06/1995
155;Lisa Loeb ;LISALOEB;Stay (I Missed You) (From Reality Bites);07/05/1994
156;Goo Goo Dolls;GOOGOODOLLS;Name;14/10/1995
157;Alanis Morissette;ALANISMORISSETTE;Thank U;05/12/1998
158;The Doors;DOORS;Wishful Sinful;29/03/1969
159;The Offspring;OFFSPRING;Original Prankster;25/11/2000
160;Guns N  Roses;GUNSNROSES;Welcome To The Jungle;22/10/1988
161;No Doubt Featuring Lady Saw;NODOUBT;Underneath It All;31/08/2002
162;Audioslave;AUDIOSLAVE;I Am The Highway;10/01/2004
163;Lit;LIT;My Own Worst Enemy;24/04/1999
164;Cat Stevens;CATSTEVENS;Wild World;13/02/1971
165;Jerry Reed;JERRYREED;When You're Hot, You're Hot;08/05/1971
166;Bubba Sparxxx;BUBBASPARXXX;Ugly;01/09/2001
167;Elvis Costello;ELVISCOSTELLO;Everyday I Write The Book;20/08/1983
168;Hootie & The Blowfish;HOOTIEBLOWFISH;Hold My Hand;08/10/1994
169;Dire Straits;DIRESTRAITS;Skateaway;20/12/1980
170;Guns N  Roses;GUNSNROSES;Yesterdays;21/11/1992
171;Aerosmith;AEROSMITH;Crazy;21/05/1994
